STATION,NAME,DATE,TMAX,TMIN
USW00024234,"SEATTLE BOEING FIELD, WA US",4/3/2017,54,40
USW00024234,"SEATTLE BOEING FIELD, WA US",4/4/2017,62,44
USW00024234,"SEATTLE BOEING FIELD, WA US",4/5/2017,55,49
USW00024234,"SEATTLE BOEING FIELD, WA US",4/6/2017,60,48
USW00024234,"SEATTLE BOEING FIELD, WA US",4/7/2017,60,47
USW00024234,"SEATTLE BOEING FIELD, WA US",4/8/2017,52,40
USW00024234,"SEATTLE BOEING FIELD, WA US",4/9/2017,56,36
USW00024234,"SEATTLE BOEING FIELD, WA US",4/10/2017,54,40
USW00024234,"SEATTLE BOEING FIELD, WA US",4/11/2017,56,37
USW00024234,"SEATTLE BOEING FIELD, WA US",4/12/2017,60,47
USW00024234,"SEATTLE BOEING FIELD, WA US",4/13/2017,55,43
USW00024234,"SEATTLE BOEING FIELD, WA US",4/14/2017,52,41
USW00024234,"SEATTLE BOEING FIELD, WA US",4/15/2017,58,41
USW00024234,"SEATTLE BOEING FIELD, WA US",4/16/2017,66,43
USW00024234,"SEATTLE BOEING FIELD, WA US",4/17/2017,61,51
USW00024234,"SEATTLE BOEING FIELD, WA US",4/18/2017,61,47
USW00024234,"SEATTLE BOEING FIELD, WA US",4/19/2017,57,45
USW00024234,"SEATTLE BOEING FIELD, WA US",4/20/2017,60,45
USW00024234,"SEATTLE BOEING FIELD, WA US",4/21/2017,66,43
USW00024234,"SEATTLE BOEING FIELD, WA US",4/22/2017,63,47
USW00024234,"SEATTLE BOEING FIELD, WA US",4/23/2017,54,45
USW00024234,"SEATTLE BOEING FIELD, WA US",4/24/2017,58,45
USW00024234,"SEATTLE BOEING FIELD, WA US",4/25/2017,56,48
USW00024234,"SEATTLE BOEING FIELD, WA US",4/26/2017,59,46
USW00024234,"SEATTLE BOEING FIELD, WA US",4/27/2017,58,43
